Time,Humidity,Temperature
13:08:51,31.00,33.30
13:09:01,31.00,33.30
13:09:11,31.00,33.30
13:09:21,31.00,33.30
13:09:32,31.00,33.30
13:09:42,31.00,33.30
13:09:52,31.00,33.30
13:10:02,31.00,33.30
13:10:12,31.00,33.30
13:10:22,31.00,33.30
13:10:32,31.00,33.30
13:10:42,31.00,33.30
13:10:52,31.00,33.30
13:11:02,31.00,33.30
13:11:12,31.00,33.30
13:11:22,31.00,33.30
13:11:32,31.00,33.30
13:11:42,31.00,33.30
13:11:53,31.00,33.30
13:12:03,31.00,33.30
13:12:13,31.00,33.30
13:12:23,31.00,33.30
13:12:33,31.00,33.30
13:12:43,31.00,33.30
13:12:53,31.00,33.30
13:13:03,31.00,33.30
13:13:13,31.00,33.30
13:13:23,32.00,32.80
13:13:33,32.00,32.80
13:13:43,32.00,32.80
13:13:53,33.00,32.80
13:14:03,33.00,32.80
13:14:14,33.00,32.80
13:14:24,33.00,32.80
13:14:34,32.00,33.30
13:14:44,32.00,33.30
13:14:54,32.00,33.30
13:15:04,32.00,33.30
13:15:14,32.00,33.30
13:15:24,32.00,33.30
13:15:34,32.00,33.30
13:15:44,32.00,33.30
13:15:54,32.00,33.30
13:16:04,32.00,33.30
13:16:14,32.00,33.30
13:16:24,32.00,33.30
13:16:34,32.00,33.30
13:16:45,32.00,33.30
13:16:55,32.00,33.30
13:17:05,32.00,33.30
13:17:15,32.00,33.30
13:17:25,32.00,33.30
13:17:35,32.00,33.30
13:17:45,32.00,33.30
13:17:55,32.00,33.30
13:18:05,32.00,33.30
13:18:15,32.00,33.30
13:18:25,32.00,33.30
13:18:35,32.00,33.30
13:18:45,32.00,33.30
13:18:55,32.00,33.30
13:19:06,32.00,33.30
13:19:16,32.00,33.30
13:19:26,32.00,33.30
13:19:36,32.00,33.30
13:19:46,32.00,33.30
13:19:56,32.00,33.30
13:20:06,32.00,33.30
13:20:16,32.00,33.30
13:20:26,32.00,33.40
13:20:36,32.00,33.80
13:20:46,32.00,33.80
13:20:56,32.00,33.80
13:21:06,32.00,33.70
13:21:16,32.00,33.30
13:21:27,32.00,33.30
13:21:37,32.00,33.30
13:21:47,32.00,33.30
13:21:57,32.00,33.30
13:22:07,32.00,33.30
13:22:17,32.00,33.30
13:22:27,32.00,33.30
13:22:37,32.00,33.30
13:22:47,32.00,33.30
13:22:57,32.00,33.30
13:23:07,32.00,33.30
13:23:17,32.00,33.30
13:23:27,32.00,33.30
13:23:37,32.00,33.30
13:23:47,32.00,33.30
13:23:58,32.00,33.30
13:24:08,32.00,33.30
13:24:18,32.00,33.30
13:24:28,32.00,33.30
13:24:38,32.00,33.30
13:24:48,32.00,33.30
13:24:58,32.00,33.30
13:25:08,32.00,33.30
13:25:18,32.00,33.30
13:25:28,32.00,33.30
13:25:38,32.00,33.30
13:25:48,32.00,33.30
13:25:58,32.00,33.30
13:26:08,32.00,33.30
13:26:19,32.00,33.30
13:26:29,32.00,33.30
13:26:39,32.00,33.30
13:26:49,32.00,33.30
13:26:59,32.00,33.30
13:27:09,32.00,33.30
13:27:19,32.00,33.30
13:27:29,32.00,33.30
13:27:39,32.00,33.30
13:27:49,32.00,33.30
13:27:59,32.00,33.30
13:28:09,32.00,33.30
13:28:19,32.00,33.30
13:28:29,32.00,33.30
13:28:40,32.00,33.30
13:28:50,32.00,33.30
13:29:00,32.00,33.30
13:29:10,32.00,33.30
13:29:20,32.00,33.30
13:29:30,32.00,33.30
13:29:40,32.00,33.30
13:29:50,32.00,33.30
13:30:00,32.00,33.30
13:30:10,32.00,33.30
13:30:20,32.00,33.30
13:30:30,32.00,33.30
13:30:40,32.00,33.30
13:30:50,32.00,33.30
13:31:00,32.00,33.30
13:31:11,32.00,33.30
13:31:21,32.00,33.30
13:31:31,32.00,33.30
13:31:41,32.00,33.40
13:31:51,32.00,33.80
13:32:01,32.00,33.80
13:32:11,32.00,33.30
13:32:21,32.00,33.30
13:32:31,32.00,33.30
13:32:41,32.00,33.30
13:32:51,32.00,33.30
13:33:01,32.00,33.30
13:33:11,32.00,33.30
13:33:21,32.00,33.30
13:33:32,32.00,33.30
13:33:42,32.00,33.30
13:33:52,32.00,33.30
13:34:02,32.00,33.30
13:34:12,32.00,33.30
13:34:22,32.00,33.30
13:34:32,32.00,33.30
13:34:42,32.00,33.30
13:34:52,32.00,33.30
13:35:02,32.00,33.30
13:35:12,32.00,33.30
13:35:22,32.00,33.30
13:35:32,32.00,33.30
13:35:42,32.00,33.30
13:35:53,32.00,33.30
14:23:21,33.00,33.30
14:23:31,33.00,33.30
14:23:41,33.00,33.30
14:37:47,36.00,32.30
14:37:57,36.00,32.30
14:38:07,36.00,32.30
14:38:17,37.00,32.30
14:38:27,37.00,32.30
14:38:37,37.00,32.30
14:38:47,37.00,32.30
14:38:57,37.00,32.30
14:39:07,37.00,32.30
14:39:17,37.00,32.30
14:39:27,37.00,32.30
14:39:37,37.00,32.30
14:39:47,37.00,32.30
14:39:57,37.00,32.30
14:40:08,37.00,32.30
